TransmitterID,anchorID, Avg, Distance
rpi12, rpi10,-55.33333333,3.801
rpi12, rpi17,-67.61538462,4.253
rpi12, rpi4,-62.8974359,5.29
rpi12, rpi15,-68.92307692,5.445
rpi12, rpi21,-64.23076923,5.993
rpi12, rpi18,-52.71794872,6.612
rpi12, rpi24,-66.02564103,7.426
rpi12, rpi19,-63.76923077,7.602
rpi8, rpi9,-57.38461538,2.254
rpi8, rpi4,-69.0,3.43
rpi8, rpi12,-53.58974359,3.45
rpi8, rpi10,-66.97435897,5.184
rpi8, rpi16,-72.25641026,5.468
rpi8, rpi17,-67.87179487,6.169
rpi8, rpi13,-60.76923077,7.03
rpi8, rpi18,-76.87179487,7.901
rpi8, rpi15,-71.35897436,8.436
rpi8, rpi21,-75.05128205,8.731
rpi8, rpi19,-79.43589744,9.317
rpi8, rpi24,-77.41025641,11.318
rpi17, rpi16,-60.97435897,1.76
rpi17, rpi18,-58.79487179,2.53
rpi17, rpi19,-64.61538462,3.521
rpi17, rpi9,-59.79487179,3.793
rpi17, rpi13,-59.97435897,3.847
rpi17, rpi21,-58.02564103,3.981
rpi17, rpi12,-68.33333333,4.253
rpi17, rpi8,-69.28205128,6.169
rpi17, rpi10,-62.82051282,7.756
rpi17, rpi15,-70.66666667,7.991
rpi17, rpi4,-68.46153846,9.105
rpi17, rpi24,-67.56410256,9.961
rpi10, rpi15,-62.17948718,3.607
rpi10, rpi4,-68.12820513,3.65
rpi10, rpi12,-54.94871795,3.801
rpi10, rpi8,-67.82051282,5.184
rpi10, rpi13,-53.1025641,5.298
rpi10, rpi9,-62.12820513,5.844
rpi10, rpi16,-51.12820513,6.092
rpi10, rpi24,-71.23076923,6.607
rpi10, rpi17,-61.53846154,7.756
rpi10, rpi21,-63.79487179,7.862
rpi10, rpi18,-67.25641026,10.248
rpi10, rpi19,-73.23076923,10.64
rpi18, rpi19,-62.53846154,2.45
rpi18, rpi17,-59.66666667,2.53
rpi18, rpi16,-65.56410256,4.29
rpi18, rpi9,-59.61538462,5.449
rpi18, rpi13,-65.43589744,6.242
rpi18, rpi21,-68.33333333,6.606
rpi18, rpi12,-52.41025641,6.612
rpi18, rpi8,-77.28205128,7.901
rpi18, rpi10,-69.12820513,10.248
rpi18, rpi15,-65.30769231,10.458
rpi18, rpi4,-74.71794872,11.299
rpi18, rpi24,-65.71794872,12.014
rpi13, rpi16,-50.05128205,2.18
rpi13, rpi21,-56.23076923,2.542
rpi13, rpi12,-53.64102564,3.547
rpi13, rpi17,-62.1025641,3.847
rpi13, rpi15,-51.94871795,4.522
rpi13, rpi4,-66.69230769,5.01
rpi13, rpi9,-58.48717949,5.222
rpi13, rpi10,-59.20512821,5.298
rpi13, rpi24,-59.23076923,5.604
rpi13, rpi19,-65.61538462,6.093
rpi13, rpi18,-69.07692308,6.242
rpi13, rpi8,-59.84615385,7.03
rpi24, rpi15,-64.12820513,2.99
rpi24, rpi13,-58.74358974,5.604
rpi24, rpi21,-51.61538462,6.047
rpi24, rpi10,-70.61538462,6.607
rpi24, rpi12,-65.8974359,7.426
rpi24, rpi16,-61.20512821,7.745
rpi24, rpi17,-64.23076923,9.961
rpi24, rpi9,-63.79487179,10.322
rpi24, rpi4,-72.69230769,10.51
rpi24, rpi19,-71.25641026,10.985
rpi24, rpi8,-76.05128205,11.318
rpi24, rpi18,-71.53846154,12.014
rpi21, rpi13,-58.17948718,2.542
rpi21, rpi16,-57.41025641,3.78
rpi21, rpi17,-59.20512821,3.981
rpi21, rpi19,-67.38461538,4.254
rpi21, rpi12,-66.64102564,5.993
rpi21, rpi24,-53.38461538,6.047
rpi21, rpi15,-59.46153846,6.513
rpi21, rpi18,-70.33333333,6.606
rpi21, rpi9,-65.38461538,6.943
rpi21, rpi10,-67.56410256,7.862
rpi21, rpi8,-74.74358974,8.731
rpi21, rpi4,-71.28205128,11.532
rpi16, rpi17,-61.58974359,1.76
rpi16, rpi13,-51.41025641,2.18
rpi16, rpi12,-54.02564103,2.751
rpi16, rpi9,-64.79487179,3.36
rpi16, rpi21,-67.07692308,3.78
rpi16, rpi18,-69.92307692,4.29
rpi16, rpi19,-64.64102564,4.888
rpi16, rpi8,-71.82051282,5.468
rpi16, rpi15,-66.20512821,5.908
rpi16, rpi10,-54.41025641,6.092
rpi16, rpi4,-58.56410256,7.187
rpi16, rpi24,-61.46153846,7.745
rpi4, rpi8,-69.74358974,3.43
rpi4, rpi10,-78.94871795,3.65
rpi4, rpi9,-67.46153846,4.689
rpi4, rpi13,-67.79487179,5.01
rpi4, rpi12,-62.82051282,5.29
rpi4, rpi16,-57.33333333,7.187
rpi4, rpi15,-70.76923077,7.71
rpi4, rpi17,-69.71794872,9.105
rpi4, rpi24,-74.64102564,10.51
rpi4, rpi18,-72.25641026,11.299
rpi4, rpi21,-77.38461538,11.532
